Date,Adj_appl,Adj_goog,Adj_msft,Adj_amzn,Adj_fb
3/3/2017,137.074615,829.080017,62.660503,849.880005,137.169998
3/2/2017,136.270508,830.630005,62.426449,848.909973,136.759995
3/1/2017,137.084412,835.23999,63.333443,853.080017,137.419998
2/28/2017,134.338623,823.210022,62.397186,845.039978,135.539993
2/27/2017,134.279785,829.280029,62.641006,848.640015,136.410004
2/24/2017,134.015015,828.640015,63.021355,845.23999,135.440002
2/23/2017,133.887512,831.330017,63.021355,852.190002,135.360001
2/22/2017,134.456299,830.76001,62.767784,855.609985,136.119995
2/21/2017,134.054214,831.659973,62.894569,856.440002,133.720001
2/17/2017,133.093216,828.070007,63.021355,845.070007,133.529999
2/16/2017,132.730377,824.159973,62.923824,844.140015,133.839996
2/15/2017,132.887253,818.97998,62.933578,842.700012,133.440002
2/14/2017,132.406754,820.450012,62.972595,836.390015,133.850006
2/13/2017,130.71019,819.23999,62.738533,836.530029,134.050003
2/10/2017,129.562866,813.669983,62.040577,827.460022,134.190002
2/9/2017,129.857056,809.559998,62.098732,821.359985,134.139999
2/8/2017,128.925446,808.380005,61.400784,819.710022,134.199997
2/7/2017,128.427475,806.969971,61.488026,812.5,131.839996
2/6/2017,127.216721,801.340027,61.691597,807.640015,132.059998
2/3/2017,126.035263,801.48999,61.730373,810.200012,130.979996
2/2/2017,125.498253,798.530029,61.235981,839.950012,130.839996
2/1/2017,125.713051,795.695007,61.633434,832.349976,133.229996
1/31/2017,118.487602,796.789978,62.670673,823.47998,130.320007
1/30/2017,118.761009,802.320007,63.135967,830.380005,130.979996
1/27/2017,119.073456,823.309998,63.766079,835.77002,132.179993
1/26/2017,119.063698,832.150024,62.302299,839.150024,132.779999
1/25/2017,119.005104,835.669983,61.730373,836.52002,131.479996
1/24/2017,117.14016,823.869995,61.575272,822.440002,129.369995
1/23/2017,117.247566,819.309998,61.03241,817.880005,128.929993
1/20/2017,117.169449,805.02002,60.819149,808.330017,127.040001
1/19/2017,116.954636,802.174988,60.392612,809.039978,127.550003
1/18/2017,117.159683,806.070007,60.586498,807.47998,127.919998
1/17/2017,117.169449,804.609985,60.615578,809.719971,127.870003
1/13/2017,116.232101,807.880005,60.780376,817.140015,128.339996
1/12/2017,116.437141,806.359985,60.69313,813.640015,126.620003
1/11/2017,116.925346,807.909973,61.255367,799.02002,126.089996
1/10/2017,116.300438,804.789978,60.70282,795.900024,124.349998
1/9/2017,116.183273,806.650024,60.722206,796.919983,124.900002
1/6/2017,115.128761,806.150024,60.916084,795.98999,123.410004
1/5/2017,113.859421,794.02002,60.392612,780.450012,120.669998
1/4/2017,113.283333,786.900024,60.392612,757.179993,118.690002
1/3/2017,113.410263,786.140015,60.664047,753.669983,116.860001
12/30/2016,113.088043,771.820007,60.237511,749.869995,115.050003
12/29/2016,113.976585,782.789978,60.974251,765.150024,116.349998
12/28/2016,114.005882,785.049988,61.061493,772.130005,116.919998
12/27/2016,114.494087,791.549988,61.342609,771.400024,118.010002
12/23/2016,113.77153,789.909973,61.303844,760.590027,117.269997
12/22/2016,113.546967,791.26001,61.604351,766.340027,117.400002
12/21/2016,114.298805,794.559998,61.594658,770.599976,119.040001
12/20/2016,114.191406,796.419983,61.594658,771.219971,119.089996
12/19/2016,113.88871,794.200012,61.672207,766,119.239998
12/16/2016,113.234512,790.799988,60.392612,757.77002,119.870003
12/15/2016,113.088043,797.849976,60.664047,761,120.57
12/14/2016,112.472916,797.070007,60.760986,768.820007,120.209999
12/13/2016,112.472916,796.099976,61.051796,774.340027,120.309998
12/12/2016,110.627495,789.27002,60.266598,760.119995,117.769997
12/9/2016,111.262154,789.289978,60.072723,768.659973,119.68
12/8/2016,109.475334,776.419983,59.142113,767.330017,118.910004
12/7/2016,108.411034,771.190002,59.491096,770.419983,117.949997
12/6/2016,107.356506,759.109985,58.114567,764.719971,117.309998
12/5/2016,106.536316,762.52002,58.376308,759.359985,117.43
12/2/2016,107.307686,750.5,57.435997,740.340027,115.400002
12/1/2016,106.907356,747.919983,57.387524,743.650024,115.099998
11/30/2016,107.913071,758.039978,58.415073,750.570007,118.419998
11/29/2016,108.830894,770.840027,59.219662,762.52002,120.870003
11/28/2016,108.938301,768.23999,58.75436,766.77002,120.410004
11/25/2016,109.153107,761.679993,58.676807,780.369995,120.379997
11/23/2016,108.606323,760.98999,58.550797,780.119995,120.839996
11/22/2016,109.162872,768.27002,59.248745,785.330017,121.470001
11/21/2016,109.094528,769.200012,58.996708,780,121.769997
11/18/2016,107.463921,760.539978,58.502323,760.159973,117.019997
11/17/2016,107.356506,771.22998,58.783447,756.400024,117.790001
11/16/2016,107.395561,764.47998,57.823757,746.48999,116.339996
11/15/2016,104.583504,758.48999,57.067635,743.23999,117.199997
11/14/2016,103.216522,736.080017,55.962532,719.070007,115.080002
11/11/2016,105.872368,754.02002,56.829132,739.01001,119.019997
11/10/2016,105.247467,762.559998,56.521008,742.380005,120.800003
